Trading Day,Median Path,10th Percentile,90th Percentile
183,473.2424198935763,388.5469735821009,579.9766154388581
184,474.55839241644946,388.89072592661654,583.0196386296083
185,473.54728822296875,388.46925525348365,580.2433907464097
186,472.7852671339858,388.7923229541174,579.8453076455254
187,472.2110814929433,387.8202918279728,581.7153125155534
188,471.7208454112106,386.99335314743763,583.3135140521123
189,472.46648905341567,387.5330077182639,586.5994395458912
190,473.14838607144617,387.24873112895403,585.9878542186399
191,473.6840605426511,385.63235496516563,587.3744580135218
192,474.52615293575434,386.3059029946342,589.7541990496374
193,475.43206601931576,386.82812517032227,587.8548358451467
194,475.2962132911225,388.0419758040815,587.3483419945985
195,475.5166723653813,387.81421902433885,587.8605600027272
196,475.2286030390904,388.26764575563743,589.2498805688344
197,475.85854374299896,390.1781060519569,589.9719271657638
198,476.21516970301514,388.99022001347237,592.0992440541386
199,474.3254969776975,390.46949426484014,591.6605131837047
200,475.7712659344828,389.98207113464963,592.6718964747209
201,475.6574898667179,388.0495251980046,593.7167391288214
202,476.5935271820405,390.0533720817397,595.5511401352114
203,477.54823233074734,387.20722366724914,597.4400746230752
204,478.5577214596932,387.3462767653409,599.4491502162837
205,477.3999931389445,387.2731107522687,598.2085782241464
206,477.16519864622103,387.1754371727066,597.8204984855367
207,477.75897588788155,387.4460863649844,599.5090607618357
208,476.95866450780886,388.70362826318313,597.8918677323616
209,477.79048259975184,387.7800433794582,597.5252931985314
210,478.1320391902937,386.2518750971375,597.7066185358927
211,477.4930992934409,385.34221406526797,597.9596082923044
212,479.9563726478973,384.3833067456977,597.076309267395
213,478.9056887867753,384.0087318972891,597.4810652616098
214,478.72216518281255,384.7925550407764,596.1828928867528
215,478.2412661258676,386.1168566642396,596.3396954772544
216,478.1174993580294,385.8203351352731,594.4493631225529
217,478.1675745431196,387.9557234646035,597.3935119108129
218,478.7954819072954,386.9314736465731,600.2431418708057
219,481.0546882217848,385.58228015591624,598.9993904909948
220,479.83528519224603,385.845567402244,602.8389986781057
221,480.038725706651,384.3909797425994,602.7586351345627
222,481.89819580037374,383.6977101510032,599.0625323967464
223,482.36923147280606,383.47673791812105,599.8285973850623
224,482.9026530130909,383.4233614644651,603.3236118122759
225,481.7386486246802,383.1788713319348,605.6399921866389
226,481.90542847050654,381.9599061981993,607.3997577255313
227,482.11663447512177,383.5231005388863,607.1152587864157
228,481.6992865970774,382.7038478305858,606.9455074557213
229,482.40492751323177,383.1197358177665,606.9987621026945
230,483.0335529991744,382.33655541714654,607.8102869460168
231,483.35899488701705,381.88958111905305,608.9151036251371
232,481.8313458320811,382.9835423559623,610.510525978803
233,483.2281628973998,383.01537122097807,610.507885672454
234,484.14378538452695,382.93701232859587,612.982194990738
235,483.6661062420827,384.06227047020633,611.790863017943
236,484.8862973961223,384.5341278249024,612.6160066288764
237,484.1075388948651,383.9235302179133,612.6619700812719
238,484.2513463583096,383.80765719750104,612.7573097179954
239,482.9848927932304,385.046391971225,610.4850864251985
240,482.9054220084504,382.9120452498757,611.8879863174644
241,482.67265910315484,382.12979718323714,612.9767874435779
242,482.86074521590103,382.77047592384474,614.202117486614
243,483.535400195449,381.41597609249106,614.6425569434789
244,483.25586902406616,381.791422635678,616.4346773879915
245,482.8841531959259,381.93995599708376,618.0932868163674
246,483.7195371755115,381.99345139104105,616.4090157514593
247,484.9018396350978,384.4484335324505,615.6372688012566
248,484.70314637434547,382.3005035339501,616.004186327834
249,484.8294885277679,382.8995254006246,618.1107848115719
250,484.24664768688723,383.0527825715644,618.6580369068158
251,485.6711993896149,383.9872133958141,620.0947642266573
252,484.8293624397536,383.1404543064086,620.0117023229378
